INCIDENT_ID,FIRST_OCCURENCE_DATE,LAST_OCCURENCE_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,INCIDENT_ADDRESS,GEO_X,GEO_Y,DISTRICT_ID,PRECINCT_ID,OFFENSE_CODE,OFENSE_TYPE_ID,OFENSE_CATEGORY_ID,MJ_RELATION_TYPE,SIZE_QTY_LBS,SIZE_QTY_GRAMS,RECORD_CREATED_DATETIME,RECORD_UPDATED_DATETIME
2016100418,2/16/2016 12:00:00 AM,2/16/2016 12:00:00 AM,2016,02,16,983 S VINE ST                                     ,3151044,1679826,3,312,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,NON-INDUSTRY,,,,
2016103385,2/18/2016 12:00:00 AM,2/18/2016 12:00:00 AM,2016,02,18,2070 S HURON ST                                   ,3141623,1672592,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016103421,2/18/2016 12:00:00 AM,2/18/2016 12:00:00 AM,2016,02,18,1640 E EVANS AVE                                  ,3149785,1672387,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016105080,2/18/2016 12:00:00 AM,2/18/2016 12:00:00 AM,2016,02,18,333 W ELLSWORTH AVE                               ,3142601,1686463,3,311,1316,THREATS TO INJURE,All Other Crimes,NON-INDUSTRY,,,,
2016108561,2/20/2016 12:00:00 AM,2/20/2016 12:00:00 AM,2016,02,20,1568 S FEDERAL BLVD                               ,3133861,1675958,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016110720,2/21/2016 12:00:00 AM,2/21/2016 12:00:00 AM,2016,02,21,7739 E COLFAX AVE                                 ,3169284,1695129,2,223,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016114594,2/23/2016 12:00:00 AM,2/23/2016 12:00:00 AM,2016,02,23,3450 N BRIGHTON BLVD                              ,3146505,1705791,2,211,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016118681,2/24/2016 12:00:00 AM,2/24/2016 12:00:00 AM,2016,02,24,6853 LEETSDALE DR                                 ,3166373,1680902,3,322,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016124043,2/27/2016 12:00:00 AM,2/27/2016 12:00:00 AM,2016,02,27,2121 E 44TH AVE                                   ,3151315,1708666,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016126405,2/28/2016 12:00:00 AM,2/28/2016 12:00:00 AM,2016,02,28,1005 N FEDERAL BLVD                               ,3133440,1692262,1,122,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016128409,2/29/2016 12:00:00 AM,2/29/2016 12:00:00 AM,2016,02,29,6858 E EVANS AVE                                  ,3166312,1672406,3,323,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016138933,3/4/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,03,04,5155 E 46TH AVE                                   ,3160637,1709787,2,221,3560,DRUG - MARIJUANA SELL,Drug Offenses,INDUSTRY,,,,
2016141178,3/4/2016 12:00:00 AM,3/5/2016 12:00:00 AM,2016,03,05,777 N CANOSA CT                                   ,3134946,1690779,1,122,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016141282,3/5/2016 12:00:00 AM,3/5/2016 12:00:00 AM,2016,03,05,3215 W AVONDALE DR                                ,3132760,1693847,1,122,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,NON-INDUSTRY,,,,
2016148661,3/8/2016 12:00:00 AM,3/8/2016 12:00:00 AM,2016,03,08,816 S UMATILLA WAY                                ,3137365,1680931,4,412,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,NON-INDUSTRY,,,,
2016157324,3/12/2016 12:00:00 AM,3/12/2016 12:00:00 AM,2016,03,12,4209 N DELAWARE ST                                ,3142594,1707402,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016171027,3/18/2016 12:00:00 AM,3/18/2016 12:00:00 AM,2016,03,18,2420 S COLORADO BLVD                              ,3157568,1670426,3,314,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016175542,3/19/2016 12:00:00 AM,3/19/2016 12:00:00 AM,2016,03,20,4305 N BRIGHTON BLVD                              ,3148956,1708556,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016178429,3/21/2016 12:00:00 AM,3/21/2016 12:00:00 AM,2016,03,21,6715 E UNION AVE                                  ,3166642,1654270,3,324,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,NON-INDUSTRY,,,,
2016183372,3/24/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,03,24,7739 E COLFAX AVE                                 ,3169284,1695129,2,223,2005,ARSON - BUSINESS,All Other Crimes,INDUSTRY,,,,
2016186990,3/25/2016 12:00:00 AM,3/25/2016 12:00:00 AM,2016,03,25,3638 N MARION ST                                  ,3148449,1704970,2,211,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,NON-INDUSTRY,,,,
2016191638,3/28/2016 12:00:00 AM,3/28/2016 12:00:00 AM,2016,03,28,4975 N VASQUEZ BLVD                               ,3155551,1711955,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016193914,3/29/2016 12:00:00 AM,3/29/2016 12:00:00 AM,2016,03,29,4012 W 38TH AVE                                   ,3129427,1705450,1,113,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016193931,3/29/2016 12:00:00 AM,3/29/2016 12:00:00 AM,2016,03,29,1406 W 38TH AVE                                   ,3139631,1705430,1,113,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
201619497,1/9/2016 12:00:00 AM,1/10/2016 12:00:00 AM,2016,01,10,318 N GROVE ST                                    ,3133339,1688147,4,411,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,NON-INDUSTRY,,,,
2016196270,3/30/2016 12:00:00 AM,3/30/2016 12:00:00 AM,2016,03,30,5140 N CLARKSON ST                                ,3147033,1713064,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016198150,3/31/2016 12:00:00 AM,3/31/2016 12:00:00 AM,2016,03,31,1270 W CEDAR AVE                                  ,3139673,1684892,4,411,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016200139,3/31/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,03,31,1350 N XENIA ST                                   ,3172805,1694331,2,223,1205,ROBBERY - STREET,Robbery-Street-Res,NON-INDUSTRY,,,,
2016207131,4/3/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,04,1660 N PEARL ST                                   ,3146341,1695869,6,621,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016208004,4/3/2016 12:00:00 AM,4/4/2016 12:00:00 AM,2016,04,04,811 W BAYAUD AVE                                  ,3141311,1685661,3,311,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016212100,4/6/2016 12:00:00 AM,4/6/2016 12:00:00 AM,2016,04,06,6359 E EVANS AVE                                  ,3164786,1672602,3,322,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016212603,4/6/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,06,2028 E COLFAX AVE                                 ,3151143,1694813,6,622,2506,FORGERY - POSS OF FORGED INST,All Other Crimes,INDUSTRY,,,,
2016215438,4/7/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,07,970 S ONEIDA ST                                   ,3166714,1679991,3,322,5707,CRIMINAL TRESPASSING,All Other Crimes,INDUSTRY,,,,
201621833,1/7/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,01,11,754 S BROADWAY ST                                 ,3144320,1681252,3,312,3562,DRUG - MARIJUANA POSSESS,Drug Offenses,INDUSTRY,,,,
2016223154,4/10/2016 12:00:00 AM,4/10/2016 12:00:00 AM,2016,04,10,815 S ONEIDA ST                                   ,3166486,1680900,3,322,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,NON-INDUSTRY,,,,
2016226473,4/7/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,12,4495 N WASHINGTON ST                              ,3146216,1708700,1,112,2399,THEFT - OTHER,Larceny,INDUSTRY,,,,
2016233567,4/14/2016 12:00:00 AM,4/15/2016 12:00:00 AM,2016,04,15,6666 E STAPLETON S DR                             ,3165497,1708664,2,221,2205,BURGLARY - BUSINESS NO FORCE,Burglary,INDUSTRY,,,,
2016235609,4/16/2016 12:00:00 AM,4/16/2016 12:00:00 AM,2016,04,16,432 S BROADWAY ST                                 ,3144200,1683431,3,312,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016238291,4/17/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,17,5227 N MONROE ST                                  ,3155817,1714011,2,212,2308,THEFT - FROM BLDG,Larceny,INDUSTRY,,,,
2016243893,4/19/2016 12:00:00 AM,4/20/2016 12:00:00 AM,2016,04,20,1015 W EVANS AVE                                  ,3140803,1672548,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016246875,4/20/2016 12:00:00 AM,4/21/2016 12:00:00 AM,2016,04,21,4500 N WASHINGTON ST                              ,3146519,1708969,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016247193,4/21/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,21,3900 N ELATI ST                                   ,3142717,1706283,1,112,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,NON-INDUSTRY,,,,
2016255816,4/25/2016 12:00:00 AM,4/25/2016 12:00:00 AM,2016,04,25,4571 N IVY ST                                     ,3162941,1709422,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016256451,4/25/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,25,3121 E COLFAX AVE                                 ,3154503,1695054,2,213,5707,CRIMINAL TRESPASSING,All Other Crimes,INDUSTRY,,,,
2016258525,4/26/2016 12:00:00 AM,4/26/2016 12:00:00 AM,2016,04,26,985 S LOGAN ST                                    ,3145350,1679861,3,312,2205,BURGLARY - BUSINESS NO FORCE,Burglary,INDUSTRY,,,,
2016262891,4/27/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,27,5055 E 38TH AVE                                   ,3160638,1705682,2,221,1202,ROBBERY - BUSINESS,Robbery-Business,NON-INDUSTRY,,,,
2016268643,4/29/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,04,30,2645 S SANTA FE DR                                ,3141468,1668820,3,313,2303,THEFT - SHOPLIFT,Larceny,INDUSTRY,,,,
2016270384,5/1/2016 12:00:00 AM,5/1/2016 12:00:00 AM,2016,05,01,4641 N CLAYTON ST                                 ,3153334,1709812,2,212,5707,CRIMINAL TRESPASSING,All Other Crimes,NON-INDUSTRY,,,,
2016270384,5/1/2016 12:00:00 AM,5/1/2016 12:00:00 AM,2016,05,01,4641 N CLAYTON ST                                 ,3153334,1709812,2,212,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,NON-INDUSTRY,,,,
2016277659,5/4/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,05,04,8151 E COLFAX AVE                                 ,3170685,1695142,2,223,2399,THEFT - OTHER,Larceny,INDUSTRY,,,,
2016279924,5/5/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,05,05,E 26TH AVE / N DEXTER ST                          ,3159469,1700268,2,222,1205,ROBBERY - STREET,Robbery-Street-Res,NON-INDUSTRY,,,,
201628053,1/14/2016 12:00:00 AM,1/14/2016 12:00:00 AM,2016,01,14,2601 N ZUNI ST                                    ,3135850,1700412,1,121,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,NON-INDUSTRY,,,,
201628453,1/14/2016 12:00:00 AM,1/14/2016 12:00:00 AM,2016,01,14,1127 S ELIZABETH ST                               ,3153039,1678868,3,312,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,NON-INDUSTRY,,,,
201629060,1/14/2016 12:00:00 AM,1/14/2016 12:00:00 AM,2016,01,14,4809 N CLAYTON ST                                 ,3153333,1710941,2,212,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,NON-INDUSTRY,,,,
2016290985,5/10/2016 12:00:00 AM,5/10/2016 12:00:00 AM,2016,05,10,1350 S SHERIDAN BLVD                              ,3125828,1677225,4,421,2205,BURGLARY - BUSINESS NO FORCE,Burglary,INDUSTRY,,,,
2016293806,5/11/2016 12:00:00 AM,5/11/2016 12:00:00 AM,2016,05,11,11100 E 51ST AVE                                  ,3180335,1713149,5,511,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,NON-INDUSTRY,,,,
2016294990,5/11/2016 12:00:00 AM,5/11/2016 12:00:00 AM,2016,05,11,1550 N BROADWAY ST                                ,3144340,1695281,6,621,1315,AGGRAVATED ASSAULT,Agg ASLT-Other,NON-INDUSTRY,,,,
2016299349,5/12/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,05,13,5077 N COLORADO BLVD                              ,3156774,1712483,2,212,2308,THEFT - FROM BLDG,Larceny,INDUSTRY,,,,
2016300518,5/14/2016 12:00:00 AM,5/14/2016 12:00:00 AM,2016,05,14,3835 N ELM ST                                     ,3160273,1705814,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016306929,5/17/2016 12:00:00 AM,5/17/2016 12:00:00 AM,2016,05,17,985 S LOGAN ST                                    ,3145350,1679861,3,312,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016309089,5/17/2016 12:00:00 AM,5/18/2016 12:00:00 AM,2016,05,18,4105 N JASON ST                                   ,3140597,1706917,1,112,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016312860,5/19/2016 12:00:00 AM,5/19/2016 12:00:00 AM,2016,05,19,1810 S BROADWAY ST                                ,3144328,1674322,3,313,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016313199,5/19/2016 12:00:00 AM,5/19/2016 12:00:00 AM,2016,05,19,22O S JULIAN ST                                   ,3131895,1686074,4,411,2399,THEFT - OTHER,Larceny,NON-INDUSTRY,,,,
2016315074,5/20/2016 12:00:00 AM,5/20/2016 12:00:00 AM,2016,05,20,3460 W 32ND AVE                                   ,3131090,1702734,1,113,5707,CRIMINAL TRESPASSING,All Other Crimes,INDUSTRY,,,,
2016317585,5/21/2016 12:00:00 AM,5/21/2016 12:00:00 AM,2016,05,21,3888 E MEXICO AVE                                 ,3157004,1674967,3,312,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016318008,5/21/2016 12:00:00 AM,5/21/2016 12:00:00 AM,2016,05,21,4707 N LIPAN ST                                   ,3139981,1710191,1,112,2303,THEFT - SHOPLIFT,Larceny,INDUSTRY,,,,
201632070,1/16/2016 12:00:00 AM,1/16/2016 12:00:00 AM,2016,01,16,777 N CANOSA CT                                   ,3134946,1690779,1,122,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016323097,5/24/2016 12:00:00 AM,5/24/2016 12:00:00 AM,2016,05,24,4400 N GRAPE ST                                   ,3161828,1708842,2,221,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016323167,5/24/2016 12:00:00 AM,5/24/2016 12:00:00 AM,2016,05,24,4095 N JACKSON ST                                 ,3156492,1707155,2,212,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016324107,5/24/2016 12:00:00 AM,5/24/2016 12:00:00 AM,2016,05,24,1355 S INCA ST                                    ,3141186,1677383,4,422,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
2016324309,5/24/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,05,24,12525 E ALBROOK DR                                ,3184585,1710532,5,521,1205,ROBBERY - STREET,Robbery-Street-Res,NON-INDUSTRY,,,,
2016329475,5/26/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,05,26,1055 19TH ST                                      ,3143054,1698655,6,611,1315,AGGRAVATED ASSAULT,Agg ASLT-Other,NON-INDUSTRY,,,,
2016334634,5/28/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,05,28,7741 E COLFAX AVE                                 ,3169310,1695133,2,223,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,INDUSTRY,,,,
2016338379,5/30/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,05,30,1355 S INCA ST                                    ,3141186,1677383,4,422,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,INDUSTRY,,,,
2016338452,5/30/2016 12:00:00 AM,1/1/1900 12:00:00 AM,2016,05,30,W 29TH AVE / N HURON ST                           ,3141377,1701533,6,612,1315,AGGRAVATED ASSAULT,Agg ASLT-Firearm,NON-INDUSTRY,,,,
2016339466,5/31/2016 12:00:00 AM,5/31/2016 12:00:00 AM,2016,05,31,6853 LEETSDALE DR                                 ,3166373,1680902,3,322,2203,BURGLARY - BUSINESS BY FORCE,Burglary,INDUSTRY,,,,
